transaction_id,date,description,amount,true_category
T01398,2023-10-14,CVS/PHARMACY #978 CHICAGO IL,219.97,Health
T00163,2023-10-30,LYFT *RIDE THU 4PM,52.17,Transport
T00862,2023-12-29,kroger 9672 seattle wa,31.62,Groceries
T00171,2023-12-17,ATT*BILL PAYMENT 39,219.28,Utilities
T01910,2023-08-25,UBER* EATS HELP.UBER.COM,17.87,Transport
T00893,2023-04-16,ALDI  71 BOSTON MA,144.13,Groceries
T01315,2023-09-11,WALMART SUPERCENTER #39375,295.8,Shopping
T00790,2023-01-06,SQ *CITY DENTAL CHICAGO IL  ,85.41,Health
T01232,2023-06-10,VERIZON WIRELESS 4500,188.02,Utilities
T01831,2023-01-02,UBER *TRIP AUSTIN TX,57.01,Transport
T01496,2023-07-21,LYFT *RIDE THU 4PM,28.79,Transport
T01939,2023-10-17,SQ *BLUE BOTTLE 7397 PHX AZ,7.57,Coffee
T00843,2023-04-25,KROGER 2980 MIAMI FL,196.29,Groceries
T00426,2023-10-25,MTA*NYCT PAYGO DENVER CO  ,41.97,Transport
T01027,2023-08-05,CHIPOTLE 10487 MIAMI FL,72.25,Restaurants
T00458,2023-01-24,TST* OLIVE & VINE BOSTON MA,101.87,Restaurants
T01798,2023-05-12,PARKING METER #8173 OAKLAND CA,20.92,Transport
T00592,2023-12-03,TRADER JOE'S #12,54.59,Groceries
T01504,2023-01-12,SPOTIFY USA 9383,30.48,Entertainment
T01012,2023-08-08,SAFEWAY #9208 PHX AZ,126.05,Groceries
T00838,2023-09-17,STEAMGAMES.COM 43610 WA,64.67,Entertainment
T00891,2023-10-13,ALDI 498 SEATTLE WA,172.72,Groceries
T01764,2023-06-14,ONCOR ELECTRIC DELIVERY,179.08,Utilities
T01023,2023-01-04,TST* THE CORNER DINER,68.62,Restaurants
T00564,2023-03-11,DART RAIL OAKLAND CA  ,53.37,Transport
T00998,2023-08-22,STEAMGAMES.COM 75514 WA,80.0,Entertainment
T00161,2023-12-02,chevron 18,35.7,Gas
T00262,2023-12-10,CIRCLE K # 72856,90.91,Gas
T01055,2023-05-12,KROGER 20 MIAMI FL,60.18,Groceries
T00971,2023-04-08,76 - 93184 austin tx,89.69,Gas
T01394,2023-03-28,TRADER JOE'S #43274,112.05,Groceries
T00820,2023-10-04,ATT*BILL PAYMENT 1256,154.05,Utilities
T01780,2023-07-27,TXU ENERGY PAYMENT,201.52,Utilities
T01327,2023-06-30,UBER *TRIP CHICAGO IL  ,55.23,Transport
T01558,2023-11-26,SQ *THE COMEDY CLUB OAKLAND CA,55.59,Entertainment
T01277,2023-09-11,rite aid #89 boston ma,195.11,Health
T01164,2023-10-14,CIRCLE K # 410,82.58,Gas
T00576,2023-12-08,SQ *CITY DENTAL CHICAGO IL,231.88,Health
T01811,2023-07-25,CIRCLE K # 59311,70.74,Gas
T00021,2023-04-28,LA FITNESS 31 AUSTIN TX,157.08,Health
T01722,2023-11-20,KROGER 8908 AUSTIN TX,185.28,Groceries
T01220,2023-05-24,STEAMGAMES.COM 25304 WA,77.07,Entertainment
T00368,2023-03-08,NETFLIX.COM 124,88.54,Entertainment
T00558,2023-10-08,TRADER JOE'S #406  ,195.13,Groceries
T00437,2023-07-14,SQ *LOCAL GROUNDS OAKLAND CA,6.75,Coffee
T00303,2023-01-06,CIRCLE K # 72,55.13,Gas
T00688,2023-04-26,TXU ENERGY PAYMENT,140.8,Utilities
T00428,2023-02-11,CHEVRON 6704,75.1,Gas
T01875,2023-08-19,TST* PHILZ COFFEE AUSTIN TX,8.79,Coffee
T01972,2023-04-29,POS DEBIT QUEST DIAGNOSTIC,226.65,Health
T01843,2023-07-28,DART RAIL AUSTIN TX,48.53,Transport
T00211,2023-10-23,CHEVRON  9234,91.4,Gas
T00372,2023-11-28,EXXONMOBIL 7307 OAKLAND CA,68.19,Gas
T01861,2023-03-23,DOORDASH*MCDONALDS,67.46,Restaurants
T01698,2023-03-23,SQ *BLUE BOTTLE 0000 DENVER CO,8.11,Coffee
T01666,2023-09-23,TST* PHILZ COFFEE DENVER CO,4.27,Coffee
T00923,2023-07-25,TARGET 849 AUSTIN TX,294.44,Shopping
T00654,2023-01-04,TST* THE CORNER DINER,82.4,Restaurants
T00299,2023-12-21,WALGREENS #93,82.83,Health
T01313,2023-07-10,TRADER JOE'S #861,58.21,Groceries
T00561,2023-05-20,SQ *BLUE BOTTLE 5328 DENVER CO,7.87,Coffee
T00526,2023-12-17,SHELL OIL 520 SEATTLE WA,67.98,Gas
T00388,2023-07-13,SQ *BLUE BOTTLE 57438 DALLAS TX,7.44,Coffee
T00119,2023-07-03,BEST  BUY #3263 DENVER CO,188.0,Shopping
T01231,2023-02-18,POS DEBIT BP#68,29.86,Gas
T00881,2023-04-14,CHEVRON 63576,65.97,Gas
T01648,2023-02-14,trader joe's #22,179.3,Groceries
T01965,2023-09-20,WHOLEFDS MKT 000 AUSTIN TX,101.49,Groceries
T01094,2023-08-28,TST* THE CORNER DINER,57.31,Restaurants
T00153,2023-04-15,SQ *THE COMEDY CLUB MIAMI FL,10.6,Entertainment
T00608,2023-09-26,SQ *THE COMEDY CLUB PHX AZ,57.74,Entertainment
T01379,2023-09-02,KROGER 591 MIAMI FL,106.65,Groceries
T01934,2023-04-04,CHEVRON 5579,60.64,Gas
T01633,2023-02-03,UBER *TRIP DALLAS TX,21.38,Transport
T00864,2023-02-06,UBER* EATS HELP.UBER.COM,5.5,Transport
T00753,2023-12-21,SQ *THE COMEDY CLUB DENVER CO,73.19,Entertainment
T00450,2023-10-23,NETFLIX.COM 33,62.95,Entertainment
T01708,2023-05-30,DART RAIL SEATTLE WA,23.89,Transport
T01159,2023-01-07,kroger 30 seattle wa,65.23,Groceries
T00287,2023-07-14,SPOTIFY USA 9060,55.21,Entertainment
T01184,2023-04-19,ATT*BILL PAYMENT 43086,201.2,Utilities
T00194,2023-02-12,LYFT *RIDE THU 4PM,34.71,Transport
T00694,2023-05-30,etsy.com - seller1006,32.36,Shopping
T01835,2023-08-10,WALGREENS #99262,107.32,Health
T01986,2023-10-05,ALDI 92 DENVER CO,115.96,Groceries
T00074,2023-01-07,ALDI 44 SEATTLE WA  ,147.75,Groceries
T01429,2023-10-28,CITY OF DALLAS WATER UT  ,169.29,Utilities
T00241,2023-03-25,LA FITNESS 871 CHICAGO IL,38.16,Health
T00205,2023-11-10,DOORDASH*MCDONALDS,82.61,Restaurants
T01515,2023-01-21,CHEVRON  211,62.34,Gas
T00942,2023-12-27,ETSY.COM - SELLER239  ,240.62,Shopping
T01072,2023-07-12,TRADER JOE'S #64045,148.82,Groceries
T00636,2023-10-27,SQ *LOCAL GROUNDS AUSTIN TX,4.02,Coffee
T00216,2023-11-12,SAFEWAY #32495 AUSTIN TX  ,208.8,Groceries
T00841,2023-06-13,WHOLEFDS MKT 255 PHX AZ,177.49,Groceries
T01700,2023-04-15,VERIZON WIRELESS 38,107.25,Utilities
T01565,2023-07-27,PARKING METER #324 AUSTIN TX,7.7,Transport
T01197,2023-07-11,MTA*NYCT PAYGO AUSTIN TX,30.91,Transport
T01574,2023-05-01,VERIZON WIRELESS 5963,282.51,Utilities
T00461,2023-10-11,KROGER 86305 DENVER CO  ,165.92,Groceries
T01182,2023-12-09,SAFEWAY #20736 AUSTIN TX,194.2,Groceries
T00212,2023-11-18,ETSY.COM - SELLER785,243.07,Shopping
T00962,2023-12-08,CITY OF DALLAS WATER UT,128.93,Utilities
T01475,2023-03-21,WALMART SUPERCENTER #581,325.79,Shopping
T01427,2023-07-21,POS  DEBIT QUEST DIAGNOSTIC,147.46,Health
T00705,2023-02-23,PARKING METER #86 AUSTIN TX  ,8.16,Transport
T01188,2023-08-03,SHELL OIL 6636 CHICAGO IL,56.6,Gas
T00430,2023-07-16,POS DEBIT BP#16,92.57,Gas
T01074,2023-10-31,REGAL CINEMAS 023 CHICAGO IL,13.94,Entertainment
T01311,2023-12-24,DOORDASH*MCDONALDS,46.24,Restaurants
T01888,2023-10-25,SHELL OIL 754 BOSTON MA,88.65,Gas
T01482,2023-09-17,WALGREENS #372,248.01,Health
T01890,2023-05-14,CVS/PHARMACY #551 SEATTLE WA,33.38,Health
T00523,2023-04-15,WALMART SUPERCENTER #74012,329.25,Shopping
T01801,2023-07-27,76 - 86885 SEATTLE WA,28.98,Gas
T01391,2023-01-08,SQ *THE COMEDY CLUB BOSTON MA,34.98,Entertainment
T01085,2023-11-21,VERIZON WIRELESS 548,109.08,Utilities
T00394,2023-12-05,LA FITNESS 055 OAKLAND CA,83.64,Health
T01344,2023-08-18,PARKING METER #92 AUSTIN TX,24.36,Transport
T00150,2023-06-16,SQ *BLUE BOTTLE 385 DENVER CO,6.33,Coffee
T00499,2023-10-25,CHIPOTLE 93 OAKLAND CA,92.85,Restaurants
T01634,2023-06-05,PARKING METER #9559 DENVER CO,13.04,Transport
T00698,2023-09-11,CVS/PHARMACY #1382 PHX AZ,48.54,Health
T01685,2023-04-17,CVS/PHARMACY #84124 DALLAS TX,32.37,Health
T01396,2023-09-14,WHOLEFDS MKT 523 MIAMI FL,82.05,Groceries
T00176,2023-08-29,SQ *THE COMEDY CLUB BOSTON MA,87.11,Entertainment
T00497,2023-06-06,CITY OF DALLAS WATER UT,133.65,Utilities
T01409,2023-06-24,TST* THE CORNER DINER,56.89,Restaurants
T01984,2023-08-18,NETFLIX.COM 12014,51.69,Entertainment
T01610,2023-10-19,TRADER JOE'S #2742,73.72,Groceries
T01994,2023-04-06,SAFEWAY #21551 AUSTIN TX,202.78,Groceries
T00160,2023-11-27,RITE AID #67 SEATTLE WA,249.56,Health
T01049,2023-09-21,ETSY.COM - SELLER377,418.57,Shopping
T01578,2023-01-30,STEAMGAMES.COM 8474 WA,52.96,Entertainment
T00423,2023-04-03,REGAL CINEMAS 8311 DALLAS TX,79.63,Entertainment
T00648,2023-05-21,ONCOR ELECTRIC DELIVERY,68.56,Utilities
T00037,2023-10-11,SQ  *LOCAL GROUNDS CHICAGO IL,3.96,Coffee
T01351,2023-09-18,SQ  *THE BOOK NOOK DALLAS TX,268.62,Shopping
T00989,2023-03-20,POS DEBIT QUEST DIAGNOSTIC,240.54,Health
T01098,2023-01-04,POS DEBIT BP#67503  ,38.31,Gas
T01935,2023-03-15,TXU ENERGY PAYMENT,212.14,Utilities
T00690,2023-12-20,UBER  *TRIP SEATTLE WA,32.34,Transport
T00208,2023-03-24,CHEVRON 65911,46.29,Gas
T00945,2023-12-21,SQ *THE BOOK NOOK NY NY,18.91,Shopping
T01572,2023-01-11,SQ *TAQUERIA EL SOL DALLAS TX  ,43.19,Restaurants
T01762,2023-07-17,CHIPOTLE 0 CHICAGO IL,122.19,Restaurants
T00254,2023-10-04,CITY  OF DALLAS WATER UT,300.14,Utilities
T00663,2023-01-19,WALMART SUPERCENTER #787,70.64,Shopping
T00477,2023-08-01,PARKING METER #979 BOSTON MA  ,33.82,Transport
T01465,2023-10-23,POS DEBIT BP#330  ,27.16,Gas
T00729,2023-08-19,best buy #90748 ny ny,135.89,Shopping
T00159,2023-02-09,TXU ENERGY PAYMENT,249.26,Utilities
T01040,2023-08-02,STARBUCKS STORE 206,6.76,Coffee
T01867,2023-05-04,SAFEWAY #6614 AUSTIN TX,196.39,Groceries
T00158,2023-08-12,76 - 90388 AUSTIN TX,32.41,Gas
T01789,2023-06-21,POS DEBIT QUEST DIAGNOSTIC,122.09,Health
T01081,2023-06-30,LA FITNESS 590 SEATTLE WA,256.5,Health
T01505,2023-08-24,SHELL OIL 5918 NY NY,57.78,Gas
T01921,2023-10-10,LA FITNESS 6378 DENVER CO,224.59,Health
T00115,2023-04-03,MTA*NYCT PAYGO BOSTON MA,44.95,Transport
T00481,2023-09-22,DART RAIL BOSTON MA,3.56,Transport
T00712,2023-08-17,KROGER 1692 AUSTIN TX  ,164.15,Groceries
T01980,2023-10-07,DUNKIN #3853 PHX AZ,5.6,Coffee
T01990,2023-10-05,VERIZON WIRELESS 7481,81.18,Utilities
T01431,2023-02-17,ONCOR ELECTRIC DELIVERY  ,118.03,Utilities
T00453,2023-11-26,KROGER 3946 CHICAGO IL  ,60.65,Groceries
T01865,2023-05-01,CITY OF DALLAS WATER UT,39.72,Utilities
T01140,2023-02-26,ONCOR  ELECTRIC DELIVERY,140.6,Utilities
T01948,2023-03-14,CVS/PHARMACY #0050 MIAMI FL,39.45,Health
T01507,2023-01-31,POS DEBIT H-E-B #56011,185.49,Groceries
T00647,2023-07-08,WALGREENS  #98216,84.82,Health
T00004,2023-07-03,CITY  OF DALLAS WATER UT,139.48,Utilities
T01239,2023-02-12,AMC ONLINE #7908,30.88,Entertainment
T01598,2023-11-17,TXU ENERGY PAYMENT,89.46,Utilities
T00474,2023-05-16,TRADER JOE'S #752  ,72.22,Groceries
T00948,2023-07-20,CVS/PHARMACY #048 MIAMI FL,89.06,Health
T01508,2023-06-17,POS DEBIT QUEST DIAGNOSTIC,228.27,Health
T01163,2023-07-13,SQ *THE BOOK NOOK DALLAS TX,51.39,Shopping
T01358,2023-04-12,CHIPOTLE 19848 DALLAS TX,48.17,Restaurants
T01130,2023-03-29,SQ *THE COMEDY CLUB CHICAGO IL,52.38,Entertainment
T00905,2023-11-30,CVS/PHARMACY #47 BOSTON MA,21.93,Health
T00399,2023-10-21,GRUBHUB*THAI BASIL BOSTON MA,131.85,Restaurants
T01053,2023-08-17,STARBUCKS STORE 11415,7.2,Coffee
T00467,2023-01-07,SAFEWAY #76389 BOSTON MA,188.7,Groceries
T00020,2023-08-13,RITE AID #730 MIAMI FL,172.47,Health
T00229,2023-10-15,VERIZON WIRELESS 420,177.64,Utilities
T01823,2023-08-26,UBER *TRIP DENVER CO,28.29,Transport
T01208,2023-01-06,SQ  *THE BOOK NOOK NY NY,20.1,Shopping
T01820,2023-09-14,SQ *BLUE BOTTLE 5619 SEATTLE WA  ,7.35,Coffee
T01878,2023-10-22,SPOTIFY USA 43351,25.26,Entertainment
T00085,2023-02-22,EXXONMOBIL 06 DALLAS TX,77.7,Gas
T00503,2023-03-16,76 - 456 DALLAS TX,64.61,Gas
T00579,2023-11-17,EXXONMOBIL  31 DENVER CO,68.31,Gas
T01006,2023-02-09,SHELL OIL 22 AUSTIN TX,52.36,Gas
T00924,2023-06-12,PEETS COFFEE #43 DALLAS TX,10.74,Coffee
T00800,2023-03-28,WHOLEFDS MKT 404 PHX AZ,166.99,Groceries
T01350,2023-05-28,TARGET 36 DENVER CO,425.88,Shopping
T01146,2023-02-22,tst* the corner diner,26.1,Restaurants
T00709,2023-07-18,BEST BUY #4216 AUSTIN TX,37.45,Shopping
T00240,2023-10-06,SQ *BLUE BOTTLE 9305 SEATTLE WA,11.9,Coffee
T01330,2023-06-21,POS DEBIT H-E-B #37104,176.57,Groceries
T00005,2023-02-10,PARKING  METER #0711 BOSTON MA,60.1,Transport
T00660,2023-08-20,UBER* EATS HELP.UBER.COM,16.97,Transport
T00188,2023-06-20,TST* PHILZ COFFEE AUSTIN TX,9.62,Coffee
T01659,2023-10-07,DART RAIL DENVER CO,32.81,Transport
T01329,2023-08-01,CVS/PHARMACY #208 PHX AZ,215.67,Health
T01453,2023-10-20,RITE AID #689 CHICAGO IL,175.17,Health
T00932,2023-09-04,NETFLIX.COM 59  ,84.41,Entertainment
T00613,2023-10-03,TST* PHILZ COFFEE DENVER CO  ,4.88,Coffee
T00174,2023-03-25,SQ  *CITY DENTAL PHX AZ,104.18,Health
T00214,2023-06-13,POS DEBIT BP#63471,35.06,Gas
T00340,2023-11-04,DART RAIL CHICAGO IL,17.63,Transport
T00536,2023-11-21,REGAL  CINEMAS 76916 DENVER CO,11.67,Entertainment
T01225,2023-01-05,lyft *ride thu 4pm,21.81,Transport
T00644,2023-11-18,COMCAST CABLE COMM 76,111.48,Utilities
T01211,2023-10-24,ETSY.COM - SELLER35,309.32,Shopping
T01624,2023-08-02,VERIZON WIRELESS 411,146.59,Utilities
T00537,2023-01-05,TST* THE CORNER DINER,78.11,Restaurants
T01833,2023-04-01,SQ *THE COMEDY CLUB AUSTIN TX,13.73,Entertainment
T00480,2023-01-21,POS DEBIT H-E-B #7301,64.98,Groceries
T00338,2023-03-19,SHELL OIL 78 DENVER CO,39.91,Gas
T01725,2023-10-02,DUNKIN #9057 DENVER CO,8.09,Coffee
T01689,2023-04-28,SQ *LOCAL GROUNDS OAKLAND CA,3.32,Coffee
T00522,2023-08-07,CVS/PHARMACY #48 SEATTLE WA,36.65,Health
T01706,2023-08-22,TXU ENERGY PAYMENT,199.46,Utilities
T00422,2023-10-01,COMCAST CABLE COMM 74,96.15,Utilities
T01816,2023-07-23,WHOLEFDS MKT 32 DALLAS TX,110.02,Groceries
T01423,2023-06-03,KROGER 35305 PHX AZ  ,120.0,Groceries
T00025,2023-02-25,COMCAST CABLE COMM 86,128.31,Utilities
T00483,2023-04-20,WHOLEFDS MKT 994 AUSTIN TX,144.05,Groceries
T01402,2023-07-23,SQ *THE BOOK NOOK OAKLAND CA,310.87,Shopping
T01523,2023-11-28,TST* THE CORNER DINER  ,135.42,Restaurants
T00765,2023-08-15,UBER* EATS HELP.UBER.COM,52.37,Transport
T00830,2023-03-04,TST* OLIVE & VINE DENVER CO,42.47,Restaurants
T00346,2023-03-21,POS DEBIT H-E-B #284  ,203.79,Groceries
T00148,2023-06-23,CVS/PHARMACY #474 CHICAGO IL,87.25,Health
T00048,2023-11-07,AMZN MKTP US*76 AMZN.COM/BILL WA,156.06,Shopping
T01609,2023-09-08,SQ *LOCAL GROUNDS AUSTIN TX,4.04,Coffee
T01456,2023-05-01,PARKING METER #54446 CHICAGO IL,32.92,Transport
T00819,2023-09-01,POS DEBIT H-E-B #75  ,179.24,Groceries
T00152,2023-12-14,STEAMGAMES.COM 3531 WA,29.79,Entertainment
T01731,2023-02-04,CVS/PHARMACY #62083 CHICAGO IL,185.51,Health
T01853,2023-09-28,SQ *THE COMEDY CLUB NY NY,38.63,Entertainment
T01740,2023-07-11,PEETS COFFEE #41 OAKLAND CA,9.54,Coffee
T01601,2023-01-25,STARBUCKS STORE 39,7.81,Coffee
T00710,2023-04-13,UBER *TRIP DENVER CO  ,63.7,Transport
T00996,2023-04-14,76 - 9625 BOSTON MA,57.13,Gas
T01899,2023-11-03,TST* PHILZ COFFEE BOSTON MA,3.24,Coffee
T01036,2023-12-31,EXXONMOBIL  616 OAKLAND CA,31.46,Gas
T00059,2023-09-16,SPOTIFY USA 87500,66.42,Entertainment
T01117,2023-06-05,SQ *TAQUERIA EL SOL OAKLAND CA,94.42,Restaurants
T00223,2023-06-20,POS DEBIT QUEST DIAGNOSTIC  ,19.73,Health
T01709,2023-05-10,CIRCLE K # 88566,31.05,Gas
T01812,2023-01-19,ATT*BILL PAYMENT 5351,228.39,Utilities
T01165,2023-07-10,POS DEBIT H-E-B #62575,48.79,Groceries
T01991,2023-08-24,CIRCLE K # 6136,61.65,Gas
T00009,2023-06-11,ETSY.COM - SELLER701,23.15,Shopping
T00002,2023-01-14,ALDI 4165 AUSTIN TX,118.6,Groceries
T01336,2023-05-04,LYFT *RIDE THU 4PM,9.27,Transport
T00889,2023-07-03,KROGER 39800 NY NY,219.85,Groceries
T01387,2023-11-11,SQ *THE BOOK NOOK DALLAS TX,331.33,Shopping
T01802,2023-05-01,ATT*BILL PAYMENT 62019,67.51,Utilities
T01957,2023-09-25,POS DEBIT H-E-B #0890,191.89,Groceries
T01546,2023-06-01,SQ *CITY DENTAL OAKLAND CA,247.22,Health
T01050,2023-06-16,VERIZON WIRELESS 003,275.19,Utilities
T00518,2023-12-14,CVS/PHARMACY #61 PHX AZ,10.3,Health
T01305,2023-08-07,DUNKIN #06834 MIAMI FL,6.87,Coffee
T01669,2023-06-17,EXXONMOBIL 8273 DENVER CO,42.23,Gas
T00955,2023-04-30,DUNKIN  #37 MIAMI FL,9.77,Coffee
T01786,2023-12-01,CIRCLE K # 37,88.66,Gas
T00674,2023-06-29,ATT*BILL PAYMENT 5320  ,165.72,Utilities
T00857,2023-03-25,NETFLIX.COM 152,45.5,Entertainment
T01046,2023-06-25,POS DEBIT QUEST DIAGNOSTIC,102.7,Health
T01022,2023-12-07,STARBUCKS STORE 5615,11.16,Coffee
T01937,2023-10-09,LA FITNESS 350 NY NY,176.78,Health
T00314,2023-08-03,TRADER JOE'S #1916,119.72,Groceries
T01564,2023-06-20,UBER* EATS HELP.UBER.COM,55.97,Transport
T01792,2023-07-21,REGAL  CINEMAS 2358 NY NY,38.25,Entertainment
T00465,2023-12-18,ETSY.COM - SELLER9069,345.19,Shopping
T01288,2023-10-25,COMCAST CABLE COMM 589,196.93,Utilities
T01639,2023-03-18,SAFEWAY #22 PHX AZ,95.69,Groceries
T00504,2023-01-22,AMC ONLINE #28  ,37.03,Entertainment
T00993,2023-03-29,SQ *TAQUERIA EL SOL DENVER CO  ,78.37,Restaurants
T01033,2023-06-28,TXU ENERGY PAYMENT,241.68,Utilities
T01035,2023-12-15,DOORDASH*MCDONALDS,70.3,Restaurants
T00604,2023-09-15,ONCOR ELECTRIC DELIVERY,76.13,Utilities
T01971,2023-03-29,SQ *THE COMEDY CLUB CHICAGO IL,87.79,Entertainment
T00683,2023-10-14,ATT*BILL PAYMENT 1022,35.23,Utilities
T00084,2023-10-01,amzn mktp us*303 amzn.com/bill wa,14.68,Shopping
T00337,2023-03-10,SAFEWAY #4902 MIAMI FL,169.4,Groceries
T01228,2023-01-26,ALDI 89408 SEATTLE WA,55.62,Groceries
T00849,2023-06-15,SPOTIFY USA 9550  ,17.19,Entertainment
T01739,2023-07-28,CVS/PHARMACY #252 SEATTLE WA,216.99,Health
T01902,2023-10-23,WALGREENS #6054,52.56,Health
T00068,2023-01-10,AMC ONLINE #6211,12.88,Entertainment
T00990,2023-09-01,PARKING METER #49980 MIAMI FL  ,26.35,Transport
T00090,2023-05-03,DUNKIN #97 NY NY,3.73,Coffee
T01817,2023-10-18,DART RAIL MIAMI FL,62.36,Transport
T00196,2023-01-22,WALMART SUPERCENTER #78986,173.93,Shopping
T01004,2023-09-06,ONCOR ELECTRIC DELIVERY,240.89,Utilities
T01203,2023-01-17,WALMART SUPERCENTER #5036  ,437.08,Shopping
T01717,2023-03-03,DOORDASH*MCDONALDS  ,15.98,Restaurants
T00416,2023-11-08,PEETS COFFEE #662 PHX AZ,5.01,Coffee
T01898,2023-09-14,la fitness 8046 dallas tx,200.81,Health
T00193,2023-07-17,MTA*NYCT PAYGO MIAMI FL,58.36,Transport
T00782,2023-02-19,76 - 5180 CHICAGO IL,73.18,Gas
T00071,2023-02-28,REGAL CINEMAS 6043 PHX AZ,68.83,Entertainment
T00543,2023-10-04,BEST BUY #768 OAKLAND CA,207.74,Shopping
T00870,2023-05-29,TST* THE CORNER DINER,79.16,Restaurants
T01891,2023-04-16,PARKING METER #847 OAKLAND CA,55.57,Transport
T00246,2023-03-10,POS DEBIT BP#1923,40.34,Gas
T00591,2023-06-05,UBER* EATS HELP.UBER.COM  ,6.43,Transport
T00384,2023-12-26,LYFT  *RIDE THU 4PM,47.92,Transport
T01043,2023-03-05,BEST BUY #82160 DALLAS TX  ,48.45,Shopping
T01011,2023-09-20,TST* THE CORNER DINER,17.63,Restaurants
T00641,2023-05-28,CHEVRON 53,92.27,Gas
T01757,2023-05-22,ATT*BILL  PAYMENT 84,303.63,Utilities
T01562,2023-05-22,ONCOR ELECTRIC DELIVERY,300.54,Utilities
T01251,2023-12-25,UBER*  EATS HELP.UBER.COM,33.7,Transport
T01103,2023-06-18,CHIPOTLE 59 OAKLAND CA,90.79,Restaurants
T00271,2023-10-27,MTA*NYCT PAYGO DALLAS TX  ,36.86,Transport
T01093,2023-07-09,CHEVRON 74391,69.74,Gas
T00861,2023-12-15,POS DEBIT BP#31,26.82,Gas
T00616,2023-12-04,AMZN MKTP US*85820 AMZN.COM/BILL WA,136.06,Shopping
T01778,2023-05-08,parking meter #7576 denver co,8.92,Transport
T01897,2023-10-23,WALMART SUPERCENTER #2609,291.36,Shopping
T01879,2023-03-26,AMZN MKTP US*91275 AMZN.COM/BILL WA,270.57,Shopping
T00460,2023-11-21,ATT*BILL PAYMENT 24979,47.79,Utilities
T00495,2023-10-27,TRADER JOE'S #7960,77.66,Groceries
T01189,2023-06-02,WALGREENS #3015,117.13,Health
T01417,2023-09-22,ALDI 264 DENVER CO,203.99,Groceries
T01250,2023-04-15,COMCAST CABLE COMM 13278,82.03,Utilities
T01083,2023-02-08,SQ  *TAQUERIA EL SOL CHICAGO IL,91.66,Restaurants
T01171,2023-10-28,DART RAIL OAKLAND CA,26.07,Transport
T01463,2023-02-16,ONCOR ELECTRIC DELIVERY,164.78,Utilities
T00699,2023-06-26,COMCAST CABLE COMM 676,236.95,Utilities
T00671,2023-10-01,SQ *THE COMEDY CLUB NY NY,62.35,Entertainment
T01044,2023-01-05,AMZN MKTP US*486 AMZN.COM/BILL WA,366.97,Shopping
T01483,2023-04-04,SAFEWAY #07 PHX AZ,65.16,Groceries
T00606,2023-01-26,DOORDASH*MCDONALDS,72.91,Restaurants
T01885,2023-09-30,att*bill payment 272,309.23,Utilities
T01489,2023-05-16,REGAL CINEMAS 336 BOSTON MA,60.2,Entertainment
T01932,2023-07-23,ONCOR ELECTRIC DELIVERY,134.36,Utilities
T01246,2023-08-14,DART RAIL BOSTON MA,23.03,Transport
T00722,2023-05-05,SQ *LOCAL GROUNDS DENVER CO,8.57,Coffee
T00879,2023-05-04,SQ *LOCAL GROUNDS NY NY,4.31,Coffee
T00283,2023-12-31,SQ *THE BOOK NOOK OAKLAND CA,285.08,Shopping
